Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
A Star,None,true,100,39,0.390000,98.994949,0.000000,10,0.001000
A Star,None,true,121,58,0.479339,102.851883,0.000000,11,0.000000
A Star,None,true,289,64,0.221453,99.826820,0.000000,17,0.000000
A Star,None,true,625,150,0.240000,101.823357,0.001000,25,0.000000
A Star,None,true,1444,191,0.132271,100.483559,0.000000,38,0.001000
A Star,None,true,3249,204,0.062789,99.243088,0.001000,57,0.001000
A Star,None,true,7396,659,0.089102,100.310471,0.003000,86,0.002000
A Star,None,true,16641,454,0.027282,98.666138,0.000000,129,0.006000
A Star,None,true,37636,679,0.018041,98.411674,0.001000,194,0.014000
A Star,None,true,84681,1430,0.016887,99.140869,0.006000,291,0.032000
A Star,None,true,190969,1534,0.008033,99.027115,0.004000,437,0.071000
A Star,None,true,430336,2299,0.005342,98.952065,0.007000,656,0.159000
A Star,Sparse,true,100,57,0.570000,104.852814,0.000000,10,0.000000
A Star,Sparse,true,121,76,0.628099,108.177223,0.001000,11,0.000000
A Star,Sparse,true,289,104,0.359862,103.272629,0.000000,17,0.000000
A Star,Sparse,true,625,242,0.387200,106.509651,0.001000,25,0.001000
A Star,Sparse,true,1444,417,0.288781,105.108185,0.002000,38,0.002000
A Star,Sparse,true,3249,678,0.208680,103.353874,0.003000,57,0.004000
A Star,Sparse,true,7396,1487,0.201055,103.716194,0.005000,86,0.012000
A Star,Sparse,true,16641,2477,0.148849,102.298897,0.012000,129,0.027000
A Star,Sparse,true,37636,4851,0.128893,101.733185,0.030000,194,0.058000
A Star,Sparse,true,84681,11099,0.131068,102.562996,0.096000,291,0.129000
A Star,Sparse,true,190969,23022,0.120554,102.378387,0.286000,437,0.281000
A Star,Sparse,true,430336,50693,0.117799,102.345161,0.964000,656,0.638000
A Star,Dense,true,100,57,0.570000,104.852814,0.000000,10,0.000000
A Star,Dense,true,121,76,0.628099,108.177223,0.000000,11,0.000000
A Star,Dense,true,289,104,0.359862,103.272629,0.001000,17,0.000000
A Star,Dense,true,625,238,0.380800,106.509651,0.001000,25,0.001000
A Star,Dense,true,1444,412,0.285319,105.108185,0.001000,38,0.004000
A Star,Dense,true,3249,666,0.204986,103.353874,0.002000,57,0.008000
A Star,Dense,true,7396,1446,0.195511,103.716194,0.005000,86,0.018000
A Star,Dense,true,16641,2323,0.139595,102.298912,0.010000,129,0.043000
A Star,Dense,true,37636,4450,0.118238,101.733162,0.027000,194,0.098000
A Star,Dense,true,84681,10059,0.118787,102.562988,0.086000,291,0.218000
A Star,Dense,true,190969,20450,0.107085,102.378395,0.250000,437,0.490000
A Star,Dense,true,430336,44617,0.103679,102.345177,0.848000,656,1.112000
A Star,Wall,true,100,89,0.890000,142.426407,0.000000,10,0.000000
A Star,Wall,true,121,119,0.983471,147.660370,0.000000,11,0.001000
A Star,Wall,true,289,234,0.809689,139.157990,0.001000,17,0.001000
A Star,Wall,true,625,517,0.827200,143.597977,0.002000,25,0.002000
A Star,Wall,true,1444,1100,0.761773,142.479248,0.004000,38,0.004000
A Star,Wall,true,3249,2115,0.650970,139.998245,0.007000,57,0.011000
A Star,Wall,true,7396,4687,0.633721,139.865387,0.018000,86,0.022000
A Star,Wall,true,16641,9865,0.592813,138.314865,0.043000,129,0.050000
A Star,Wall,true,37636,22099,0.587177,138.385513,0.112000,194,0.115000
A Star,Wall,true,84681,48747,0.575655,138.687683,0.339000,291,0.257000
A Star,Wall,true,190969,108474,0.568019,138.462189,0.976000,437,0.584000
A Star,Wall,true,430336,242258,0.562951,138.291855,2.992000,656,1.318000
A Star,NoSolution,false,100,80,0.800000,84.142136,0.000000,10,0.001000
A Star,NoSolution,false,121,94,0.776860,85.583763,0.001000,11,0.000000
A Star,NoSolution,false,289,211,0.730104,87.226044,0.000000,17,0.001000
A Star,NoSolution,false,625,434,0.694400,88.970558,0.002000,25,0.002000
A Star,NoSolution,false,1444,979,0.677978,89.660690,0.003000,38,0.005000
A Star,NoSolution,false,3249,2162,0.665436,90.024078,0.008000,57,0.010000
A Star,NoSolution,false,7396,4868,0.658194,90.663429,0.021000,86,0.025000
A Star,NoSolution,false,16641,10848,0.651884,90.596901,0.047000,129,0.052000
A Star,NoSolution,false,37636,24412,0.648634,90.728004,0.120000,194,0.122000
A Star,NoSolution,false,84681,54706,0.646024,91.000519,0.344000,291,0.274000
A Star,NoSolution,false,190969,123060,0.644398,91.058197,1.044000,437,0.628000
A Star,NoSolution,false,430336,276802,0.643223,91.096031,3.139000,656,1.414000
Gradient Descent,None,true,100,8,0.080000,98.994949,0.000000,10,0.000000
Gradient Descent,None,true,121,9,0.074380,102.851883,0.000000,11,0.001000
Gradient Descent,None,true,289,13,0.044983,99.826820,0.000000,17,0.000000
Gradient Descent,None,true,625,19,0.030400,101.823357,0.000000,25,0.000000
Gradient Descent,None,true,1444,28,0.019391,100.483559,0.000000,38,0.001000
Gradient Descent,None,true,3249,41,0.012619,99.243088,0.000000,57,0.001000
Gradient Descent,None,true,7396,62,0.008383,100.310471,0.000000,86,0.003000
Gradient Descent,None,true,16641,91,0.005468,98.666138,0.000000,129,0.005000
Gradient Descent,None,true,37636,136,0.003614,98.411674,0.000000,194,0.012000
Gradient Descent,None,true,84681,205,0.002421,99.140869,0.001000,291,0.027000
Gradient Descent,None,true,190969,307,0.001608,99.027115,0.001000,437,0.061000
Gradient Descent,None,true,430336,460,0.001069,98.952065,0.001000,656,0.138000
Gradient Descent,Sparse,true,100,9,0.090000,104.852814,0.000000,10,0.001000
Gradient Descent,Sparse,true,121,10,0.082645,108.177223,0.000000,11,0.000000
Gradient Descent,Sparse,true,289,15,0.051903,106.718430,0.000000,17,0.001000
Gradient Descent,Sparse,true,625,21,0.033600,106.509651,0.001000,25,0.000000
Gradient Descent,Sparse,false,1444,9,0.006233,28.682880,0.000000,38,0.001000
Gradient Descent,Sparse,true,3249,46,0.014158,105.834946,0.000000,57,0.004000
Gradient Descent,Sparse,false,7396,17,0.002299,25.829302,0.000000,86,0.008000
Gradient Descent,Sparse,false,16641,23,0.001382,24.118378,0.000000,129,0.021000
Gradient Descent,Sparse,false,37636,34,0.000903,23.842693,0.000000,194,0.045000
Gradient Descent,Sparse,false,84681,50,0.000590,23.813227,0.000000,291,0.110000
